Day of week,Date,distance,pace,time,pace
Monday,10/6/2008,0.94,16:04,15:14,0:16:04
Friday,10/31/2008,3.133,13:10,41:18,0:13:10
Sunday,11/2/2008,2.43,15:26,37:33,0:15:26
Friday,1/9/2009,2.74,14:38,40:13,0:14:38
Tuesday,1/13/2009,3,12:29,37:34,0:12:29
Thursday,1/22/2009,3.3,11:38,38:27,0:11:38
Monday,2/2/2009,3.17,13:27,42:41,0:13:27
Monday,2/9/2009,3.47,11:24,39:37,0:11:24
Friday,2/13/2009,3.21,12:28,38:12,0:12:28
Monday,2/16/2009,3.22,12:02,38:49,0:12:02
Friday,2/20/2009,3.03,11:40,35:25,0:11:40
Monday,2/23/2009,2.02,12:05,24:31,0:12:05
Thursday,2/26/2009,3.03,11:26,34:41,0:11:26
Thursday,3/5/2009,2.76,10:55,30:14,0:10:55
Monday,3/9/2009,3.24,12:21,40:03,0:12:21
Friday,3/13/2009,2.91,10:23,30:14,0:10:23
Sunday,3/22/2009,3.83,12:49,49:10,0:12:49
Tuesday,3/24/2009,3,10:28,31:31,0:10:28
Friday,4/10/2009,2.88,10:34,30:25,0:10:34
Monday,4/13/2009,3.22,10:36,34:06,0:10:36
Thursday,4/16/2009,3.55,10:29,37:14,0:10:29
Saturday,4/18/2009,3.05,10:49,33:03,0:10:49
Saturday,4/25/2009,3,10:46,32:24,0:10:46
Tuesday,4/28/2009,3.02,10:48,32:42,0:10:48
Friday,5/8/2009,3.15,10:40,33:37,0:10:40
Monday,5/11/2009,3.66,10:24,38:08,0:10:24
Thursday,5/14/2009,4.09,10:42,43:48,0:10:42
Sunday,5/17/2009,3.16,10:26,33:00,0:10:26
Tuesday,5/19/2009,3.51,10:30,36:54,0:10:30
Saturday,5/23/2009,5.01,10:56,34:55,0:10:56
Monday,5/25/2009,3.22,10:51,34:55,0:10:51
Thursday,5/28/2009,3.58,10:29,37:35,0:10:29
Thursday,6/4/2009,4.05,10:02,40:43,0:10:02
Saturday,6/6/2009,3.18,10:42,34:01,0:10:42
Monday,6/8/2009,3.53,10:23,36:46,0:10:23
Wednesday,6/10/2009,4,10:17,41:11,0:10:17
Friday,6/12/2009,4.01,10:21,41:31,0:10:21
Monday,6/15/2009,4.01,10:40,42:51,0:10:41
Wednesday,6/17/2009,5.46,10:37,58:05,0:10:37
Friday,6/19/2009,4,10:24,41:38,0:10:24
Monday,6/22/2009,3.59,10:30,37:45,0:10:30
Wednesday,6/24/2009,2.92,9:18,27:10,0:09:18
Thursday,6/25/2009,4.48,10:11,45:39,0:10:11
Saturday,6/27/2009,3.99,10:27,41:46,0:10:27
Monday,6/29/2009,4.06,10:15,41:36,0:10:15
Thursday,7/2/2009,3.5,10:09,35:31,0:10:09
Saturday,7/4/2009,4.69,10:28,49:11,0:10:28
Monday,7/6/2009,3.5,10:14,35:51,0:10:14
Thursday,7/9/2009,4.04,10:21,41:54,0:10:21
Saturday,7/11/2009,4.83,10:40,51:35,0:10:40
Tuesday,7/14/2009,4.16,10:19,42:54,0:10:19
Thursday,7/16/2009,3.63,10:38,38:36,0:10:38
Saturday,7/18/2009,4.84,10:30,50:48,0:10:30
Wednesday,7/22/2009,3.67,10:37,38:57,0:10:37
Friday,7/24/2009,4.04,10:03,40:38,0:10:03
Monday,7/27/2009,3.55,10:13,36:20,0:10:13
Friday,7/31/2009,3.66,10:24,38:05,0:10:24
Monday,8/3/2009,3.47,10:41,37:11,0:10:41
Friday,8/7/2009,3.89,10:06,39:18,0:10:06
Sunday,8/9/2009,3.96,10:29,41:31,0:10:29
Tuesday,8/11/2009,3.55,10:32,37:28,0:10:32
Friday,8/14/2009,4.83,10:34,51:05,0:10:34
Wednesday,8/19/2009,3.62,10:37,38:28,0:10:37
Saturday,8/22/2009,3.18,9:56,31:37,0:09:56
Wednesday,8/26/2009,6.01,10:20,1:02:10,0:10:20
Sunday,8/30/2009,5,10:43,53:39,0:10:43
Sunday,9/6/2009,5.21,10:20,53:53,0:10:20
Thursday,9/10/2009,3.57,9:26,33:40,0:09:26
Tuesday,9/22/2009,6,9:50,59:04,0:09:50
Saturday,9/26/2009,6.01,9:55,59:34,0:09:55
Wednesday,9/30/2009,4.11,9:44,40:03,0:09:44
Saturday,10/3/2009,5.88,10:11,59:57,0:10:11
Tuesday,10/6/2009,3.98,9:56,39:35,0:09:56
Sunday,10/11/2009,5.96,10:19,1:01:31,0:10:19
Wednesday,10/14/2009,4.05,9:37,38:57,0:09:37
Sunday,10/18/2009,5.72,10:12,58:24,0:10:12
Wednesday,10/21/2009,3.92,9:46,38:17,0:09:46
Sunday,10/25/2009,6.57,10:21,1:08:02,0:10:21
Friday,10/30/2009,5.64,10:09,57:21,0:10:09
Friday,1/1/2010,3,9:53,29:39,0:09:53
Thursday,1/7/2010,4.08,9:36,39:15,0:09:36
Wednesday,1/13/2010,4.09,9:34,39:11,0:09:34
Thursday,1/21/2010,3.62,9:36,34:46,0:09:36
Thursday,1/28/2010,6.03,10:05,1:00:51,0:10:05
Tuesday,2/9/2010,3.1,9:44,30:15,0:09:44
Thursday,2/18/2010,6.06,9:57,1:00:21,0:09:57
Saturday,2/27/2010,6.19,9:58,1:01:46,0:09:58
Sunday,3/7/2010,6.06,10:20,1:02:37,0:10:20
Wednesday,3/10/2010,10,10:25,1:44:14,0:10:25
Thursday,3/18/2010,2.98,9:58,29:45,0:09:58
Sunday,3/21/2010,5.92,10:29,1:02:02,0:10:29
Sunday,3/28/2010,5.99,9:54,59:19,0:09:54
Wednesday,3/31/2010,3.02,8:54,26:56,0:08:54
Saturday,4/3/2010,6,9:03,54:18,0:09:03
Sunday,4/11/2010,6.2,9:48,1:00:48,0:09:48
Wednesday,4/14/2010,3.17,8:43,27:39,0:08:43
Sunday,4/18/2010,6.21,9:20,58:01,0:09:20
Saturday,4/24/2010,6.11,9:00,55:02,0:09:00
Saturday,5/1/2010,3,9:11,27:34,0:09:11
Tuesday,5/4/2010,5.16,8:56,46:08,0:08:56
Friday,5/7/2010,6.01,9:23,56:27,0:09:23
Tuesday,5/11/2010,3.71,8:31,31:38,0:08:31
Sunday,5/16/2010,6.81,9:15,1:03:02,0:09:15
Wednesday,5/19/2010,3.71,9:01,33:26,0:09:01
Thursday,5/27/2010,4.35,8:49,38:22,0:08:49
Monday,5/31/2010,6.24,9:22,58:28,0:09:22
Thursday,6/3/2010,3,9:42,29:07,0:09:42
Saturday,6/5/2010,10,9:40,1:36:38,0:09:40
Wednesday,6/9/2010,3.16,8:22,26:28,0:08:22
Sunday,6/13/2010,6,9:35,57:33,0:09:35
Friday,6/18/2010,6.09,9:34,58:19,0:09:34
Monday,6/21/2010,3.77,9:19,35:13,0:09:19
Sunday,6/27/2010,6.77,9:43,1:05:46,0:09:43
Sunday,7/4/2010,5.43,9:29,51:32,0:09:29
Saturday,7/17/2010,7.08,9:39,1:08:20,0:09:39
Friday,7/30/2010,6.96,9:51,1:08:31,0:09:51
Friday,8/6/2010,7.04,9:24,1:06:11,0:09:24
Sunday,8/8/2010,3.96,9:22,37:10,0:09:22
Wednesday,8/18/2010,3.5,9:01,31:32,0:09:01
Sunday,8/29/2010,3.29,10:04,33:09,0:10:04
Friday,9/3/2010,6.56,10:17,1:07:30,0:10:17
Monday,9/6/2010,6.57,9:51,1:04:41,0:09:51
Thursday,9/9/2010,3.01,8:50,26:35,0:08:50
Sunday,9/12/2010,7.05,9:56,1:10:09,0:09:56
Wednesday,9/15/2010,2.93,9:11,26:57,0:09:11
Sunday,9/19/2010,13.1,9:34,2:05:16,0:09:34
Friday,9/24/2010,6.66,9:47,1:05:10,0:09:47
Sunday,9/26/2010,3.62,8:46,31:46,0:08:46
Saturday,10/2/2010,6.75,9:49,1:06:20,0:09:49
Sunday,10/17/2010,6.69,9:56,1:06:32,0:09:56
Sunday,10/24/2010,6.63,9:39,1:04:04,0:09:39
Sunday,10/31/2010,6.78,9:27,1:04:09,0:09:27
Wednesday,11/3/2010,3.71,9:09,33:56,0:09:09
Sunday,11/7/2010,6.67,9:45,1:05:04,0:09:45
Saturday,11/13/2010,6.74,10:07,1:08:15,0:10:07
Sunday,11/21/2010,6.74,9:26,1:03:40,0:09:26
Friday,12/3/2010,3.65,9:23,34:15,0:09:23
Sunday,12/12/2010,6.49,10:14,1:06:28,0:10:14
Sunday,12/19/2010,5.06,10:09,51:19,0:10:09
Saturday,12/25/2010,6.51,9:37,1:02:40,0:09:37
Saturday,1/1/2011,6.56,10:24,1:08:18,0:10:24
Friday,1/14/2011,6.52,9:49,1:04:06,0:09:49
Sunday,1/30/2011,6.51,9:22,1:00:58,0:09:22
Sunday,2/13/2011,6.56,9:26,1:01:54,0:09:26
Sunday,2/20/2011,6.52,9:39,1:02:52,0:09:39
Sunday,2/27/2011,6.56,9:24,1:01:39,0:09:24
Sunday,3/6/2011,6.68,10:02,1:07:03,0:10:02
Sunday,3/13/2011,6.54,9:47,1:04:01,0:09:47
Sunday,3/20/2011,6.56,9:20,1:01:19,0:09:20
Sunday,3/27/2011,6.52,9:04,59:05,0:09:04
Sunday,4/3/2011,9.36,9:35,1:29:41,0:09:35
Sunday,4/10/2011,6.49,9:19,1:00:31,0:09:19
Sunday,4/17/2011,6.58,9:20,1:01:25,0:09:20
Sunday,4/24/2011,6.55,9:12,1:00:16,0:09:12
Sunday,5/1/2011,6.56,9:27,1:02:02,0:09:27
Sunday,5/8/2011,6.53,9:25,1:01:36,0:09:25
Wednesday,5/11/2011,3.65,9:12,33:40,0:09:12
Sunday,5/15/2011,6.58,9:17,1:01:08,0:09:17
Sunday,5/22/2011,6.58,9:26,1:02:09,0:09:26
Friday,5/27/2011,6.02,9:26,56:51,0:09:26
Sunday,6/5/2011,6.51,9:18,1:00:31,0:09:18
Sunday,6/12/2011,6.47,9:40,1:02:40,0:09:40
Sunday,6/19/2011,6.53,9:50,1:04:12,0:09:50
Sunday,6/26/2011,6.58,9:29,1:02:26,0:09:29
Sunday,7/10/2011,6.54,9:15,1:00:35,0:09:15
Sunday,8/7/2011,6,9:51,59:14,0:09:51
Tuesday,8/16/2011,3.61,9:04,32:48,0:09:04
Sunday,8/21/2011,6.52,9:38,1:02:47,0:09:38
Friday,8/26/2011,6.04,8:53,53:43,0:08:53
Sunday,8/28/2011,6.55,9:10,1:00:04,0:09:10
Sunday,9/4/2011,5.1,9:19,47:33,0:09:19
Sunday,9/11/2011,5.13,8:41,44:33,0:08:41
Sunday,9/18/2011,5.1,8:19,42:27,0:08:19
Sunday,9/25/2011,5.1,8:44,44:33,0:08:44
Sunday,10/2/2011,5.28,8:31,44:59,0:08:31
Sunday,10/9/2011,5.12,8:22,42:51,0:08:22
Sunday,10/16/2011,5.04,8:49,44:25,0:08:49
Sunday,10/23/2011,5.18,8:22,43:20,0:08:22
Sunday,11/6/2011,5.19,8:22,43:26,0:08:22
Sunday,11/13/2011,5,8:29,42:30,0:08:29
Sunday,11/20/2011,5.19,8:23,43:37,0:08:23
Friday,11/25/2011,5.19,8:41,45:07,0:08:41
Sunday,11/27/2011,5.17,8:10,42:14,0:08:10
Sunday,12/4/2011,5.01,8:46,43:55,0:08:46
Sunday,12/11/2011,5.07,8:12,41:39,0:08:12
Sunday,12/18/2011,5.21,8:18,43:17,0:08:18
Friday,12/30/2011,5,8:03,40.19,0:08:03
Monday,1/2/2012,5.17,8:26,43:36,0:08:26
Sunday,1/8/2012,5.07,8:31,43:14,0:08:31
Sunday,1/15/2012,5.09,8:27,43:02,0:08:27
Sunday,1/29/2012,5.22,8:35,44:49,0:08:35
Sunday,2/19/2012,5.17,8:35,44:24,0:08:35
Sunday,2/26/2012,5.21,8:53,46:18,0:08:53
Sunday,3/4/2012,5.06,8:25,42:42,0:08:25
Sunday,3/11/2012,5.11,8:35,43:53,0:08:35
Sunday,3/18/2012,5.04,8:26,42:32,0:08:26
Sunday,3/25/2012,7.51,8:44,1:05:37,0:08:44
Sunday,4/1/2012,5.07,8:21,42:18,0:08:21
Sunday,4/8/2012,5.08,8:36,43:46,0:08:36
Sunday,4/15/2012,5.09,8:45,44:32,0:08:45
Sunday,4/22/2012,5.17,8:25,43:44,0:08:25
Saturday,4/28/2012,5.47,8:42,47:38,0:08:42
Sunday,5/6/2012,5.09,8:22,42:38,0:08:22
Saturday,5/12/2012,5.06,8:13,41:36,0:08:13
Sunday,5/27/2012,5.94,10:06,1:00:01,0:10:06
Sunday,6/10/2012,5.06,8:51,44:50,0:08:51
Sunday,6/17/2012,5.07,8:12,41:41,0:08:12
Sunday,7/1/2012,5.03,8:43,43:53,0:08:43
Sunday,7/8/2012,4.96,8:50,43:53,0:08:50
Sunday,7/15/2012,5,8:43,43:37,0:08:43
Sunday,7/22/2012,4.98,8:04,40:13,0:08:04
Sunday,7/29/2012,5.1,8:25,43:00,0:08:25
Sunday,8/5/2012,6.03,8:49,53:13,0:08:49
Sunday,8/12/2012,7.13,8:59,1:04:01,0:08:59
Sunday,8/19/2012,5.19,8:34,44:29,0:08:34
Thursday,8/23/2012,5.86,9:42,56:53,0:09:42
Sunday,8/26/2012,9.15,9:43,1:29:00,0:09:43
Monday,9/3/2012,4.93,9:07,44:55,0:09:07
Sunday,9/16/2012,5.09,8:15,42:01,0:08:15
Sunday,9/23/2012,5,8:27,42:17,0:08:27
Sunday,9/30/2012,5,8:22,41:52,0:08:22
Sunday,10/7/2012,5.01,8:51,44:25,0:08:51
Sunday,10/21/2012,5,8:18,41:32,0:08:18
Sunday,10/28/2012,5.01,8:43,43:46,0:08:43
Sunday,11/4/2012,5.01,8:11,41:04,0:08:11
Sunday,11/11/2012,5.03,8:50,44:24,0:08:50
Friday,11/23/2012,5.03,9:05,45:44,0:09:05
Sunday,12/2/2012,5.02,8:29,42:36,0:08:29
Sunday,12/16/2012,4.01,8:24,33:42,0:08:24
Thursday,12/20/2012,3,7:51,23:37,0:07:51
Tuesday,12/25/2012,5.05,8:23,42:20,0:08:23
Sunday,1/6/2013,5.01,8:33,42:52,0:08:33
Sunday,1/13/2013,5.01,8:26,42:17,0:08:26
Sunday,1/20/2013,5.03,8:47,44:13,0:08:47
Sunday,2/17/2013,5.01,8:43,43:44,0:08:43
Sunday,2/24/2013,5.04,8:24,42:22,0:08:24
Sunday,3/24/2013,5.03,8:47,44:14,0:08:47
Sunday,3/31/2013,5.02,8:42,43:38,0:08:42
Sunday,4/14/2013,5,8:54,44:34,0:08:54
Tuesday,4/23/2013,4.01,9:03,36:18,0:09:03
Sunday,5/5/2013,5,8:16,41.24,0:08:16
Monday,5/13/2013,4.46,7:42,34:22,0:07:42
Friday,5/17/2013,3.01,9:11,27:41,0:09:11
Monday,5/27/2013,5,8:14,41:13,0:08:14
Sunday,6/2/2013,5.03,9:08,45:56,0:09:08
Sunday,6/23/2013,5.02,9:08,45:55,0:09:08
Sunday,6/30/2013,5,9:13,46:04,0:09:13
Sunday,7/14/2013,5.01,8:57,44:52,0:08:57
Sunday,8/4/2013,5.02,9:04,45:34,0:09:04
Sunday,8/11/2013,5.03,9:08,45:57,0:09:08
Sunday,8/18/2013,5.01,7:56,39:50,0:07:56
Friday,8/23/2013,4.57,13:41,1:02:33,0:13:41
Sunday,8/25/2013,5.01,9:13,46:10,0:09:13
Sunday,9/1/2013,5,9:00,45:02,0:09:00
Sunday,9/8/2013,5.02,9:02,45:22,0:09:02
Sunday,9/15/2013,5.03,8:45,44:01,0:08:45
Sunday,9/22/2013,5.04,8:59,45:17,0:08:59
Sunday,10/13/2013,1.26,8:23,10:36,0:08:23
Sunday,11/3/2013,5,9:01,45:06,0:09:01
Sunday,11/10/2013,5.03,9:00,45:18,0:09:00
Sunday,11/17/2013,5.02,8:59,45:08,0:08:59
Sunday,12/1/2013,5.02,8:48,44:12,0:08:48
Sunday,12/22/2013,5.03,8:53,44:44,0:08:53
Sunday,1/12/2014,5.02,9:09,45:53,0:09:09
Monday,2/3/2014,3.01,9:06,27:27,0:09:06
Thursday,2/6/2014,3.02,9:35,28:58,0:09:35
Sunday,3/9/2014,5,8:28,42:21,0:08:28
Sunday,3/23/2014,5,9:04,45:21,0:09:04
Sunday,3/30/2014,2.93,8:22,24:32,0:08:22
Sunday,4/6/2014,5.02,9:02,45.21,0:09:02
Sunday,4/13/2014,5.05,9:15,46:59,0:09:15
Sunday,4/27/2014,5.02,8:50,44:21,0:08:50
Sunday,5/11/2014,6.51,9:13,1:00:02,0:09:13
